Date,Close,High,Low,Open,Volume
2022-11-02,4060.8408203125,4191.835685483871,4020.534707952078,4181.759157393765,127515400
2022-11-03,4101.1474609375,4111.223990325553,4010.4586964450245,4010.4586964450245,119598600
2022-11-04,4091.07080078125,4091.07080078125,4030.611626385468,4040.6881554514316,70781200
2022-11-07,4131.376953125,4131.376953125,4030.611661585366,4101.14736566311,98034400
2022-11-08,4091.07080078125,4141.453446111068,4060.841213583359,4141.453446111068,39585800
2022-11-09,4091.07080078125,4091.07080078125,4050.7646845173954,4050.7646845173954,68010400
2022-11-10,4070.91748046875,4091.0705373027536,4030.6113668007424,4050.7644236347464,61964000
2022-11-11,4201.91259765625,4211.989126667416,4121.300365566922,4151.52995260042,102008200
2022-11-14,4131.376953125,4252.295302972561,4091.0708365091464,4252.295302972561,61055200
2022-11-15,4131.376953125,4151.530011432927,4070.91777820122,4151.530011432927,83000800
2022-11-16,4030.61181640625,4101.147523193359,3990.305698242187,4070.9179345703124,128257800
2022-11-17,3990.305908203125,4040.688558559225,3970.152848060685,3970.152848060685,167562600
2022-11-18,4101.1474609375,4121.300519713605,4000.382167056972,4010.4586964450245,111646200
2022-11-21,4070.91748046875,4111.223594136757,4040.6878952177444,4101.147065719756,52311600
2022-11-22,4080.993896484375,4131.3765371817135,4050.7643120659723,4050.7643120659723,79850600
2022-11-23,4111.22314453125,4151.52925379136,4080.9935625861676,4080.9935625861676,78250600
2022-11-24,4121.30029296875,4151.529879469743,4111.223764135086,4121.30029296875,59701400
2022-11-25,4101.1474609375,4121.300519713605,4070.9178727733415,4121.300519713605,77984800
2022-11-28,4080.993896484375,4141.4530653211805,4080.993896484375,4101.146952763311,64779000
2022-11-29,4161.6064453125,4211.989089928874,4111.223800696126,4131.376858542676,72261000
2022-11-30,4242.21826171875,4353.060069032067,4161.606038218157,4161.606038218157,347136800
2022-12-01,4191.83642578125,4292.601724477914,4191.83642578125,4242.219075129582,141493000
2022-12-02,4242.21826171875,4242.21826171875,4161.606038218157,4191.835622030879,70811400
2022-12-05,4383.28955078125,4433.672189295977,4262.371218345906,4292.6008014547415,146472800
2022-12-06,4393.3662109375,4433.672322964449,4322.830514890338,4383.289682930763,139360200
2022-12-07,4181.75927734375,4312.75414627259,4181.75927734375,4282.524561135166,200886200
2022-12-08,4050.763916015625,4121.299606095499,4020.5343345528217,4060.8404431698928,279908400
2022-12-09,4000.3818359375,4050.764478707494,3960.0757217215055,4010.458364491499,241338200
2022-12-12,4010.45849609375,4030.6115538630656,3939.9227939011466,3960.075851670462,183717600
2022-12-13,3990.305908203125,4030.612028488005,3939.9232578470246,3939.9232578470246,224176000
2022-12-14,4010.45849609375,4070.917669401696,4010.45849609375,4060.8411405170386,162689200
2022-12-15,3990.305908203125,4040.688558559225,3990.3059082031245,3990.3059082031245,82673400
2022-12-16,4070.91748046875,4070.91748046875,3960.0756678817297,3960.0756678817297,770252400
2022-12-19,4030.61181640625,4060.8414050292968,3990.305698242187,4030.61181640625,100871400
2022-12-20,4050.763916015625,4050.763916015625,4010.457807398554,4030.6108617070895,56633800
2022-12-21,4030.61181640625,4080.994464111328,4030.61181640625,4080.994464111328,37945200
2022-12-22,4010.45849609375,4070.917669401696,4010.45849609375,4070.917669401696,78836200
2022-12-23,4000.3818359375,4030.6114215994967,3990.3053073835017,3990.3053073835017,38571200
2022-12-26,4050.763916015625,4050.763916015625,4010.457807398554,4020.5343345528217,19578800
2022-12-27,4010.45849609375,4050.764611632381,3980.228909439777,4050.764611632381,43282000
2022-12-28,4020.534912109375,4030.6114407111527,3970.1522691004852,4030.6114407111527,30258400
2022-12-29,4020.534912109375,4020.5349121093745,3980.2287977022634,3990.305326304041,56981400
2022-12-30,4000.3818359375,4050.764478707494,4000.3818359375005,4030.6114215994967,40655800
2023-01-02,3980.22900390625,4020.5351204015033,3980.22900390625,4000.3820621538766,5985400
2023-01-03,4010.45849609375,4020.535024978408,3970.1523805551196,3970.1523805551196,13815200
2023-01-04,4040.688232421875,4060.841290937695,4020.5351739060548,4040.688232421875,38575800
2023-01-05,3960.075927734375,4050.764689438216,3919.7698114215573,4050.764689438216,84945800
2023-01-06,3949.9990234375,3949.9990234375,3869.386798469388,3919.7694390744578,44097000
2023-01-09,3919.76953125,3970.152173039846,3869.386889460154,3929.846059607969,67250600
2023-01-10,3738.39208984375,3849.2339038283353,3698.085975667537,3829.080846740229,214538800
2023-01-11,3607.397216796875,3698.0859736437237,3587.244159719797,3657.7798594895685,193915000
2023-01-12,3708.162841796875,3808.9281364109206,3627.5506061056385,3627.5506061056385,219659400
2023-01-13,3698.086181640625,3718.2392398512006,3647.703536114186,3677.9331234300494,107483800
2023-01-16,3748.468505859375,3768.62156234249,3667.8562799269152,3667.8562799269152,145710000
2023-01-17,3929.846435546875,3960.0760235126204,3778.6984957181494,3788.7750250400645,146238000
2023-01-18,3849.23388671875,3939.922643212124,3829.080829720223,3889.540000715805,95360600
2023-01-19,3929.846435546875,3960.0760235126204,3839.1576716496397,3869.3872596153847,81704200
2023-01-20,4020.534912109375,4030.6114407111527,3949.9992118969294,3970.1522691004852,93227400
2023-01-24,3990.305908203125,4020.535498416785,3949.9997879182447,3970.152848060685,35028000
2023-01-25,3909.69287109375,3970.152039203447,3909.69287109375,3949.9989831668818,72767800
2023-01-26,3960.075927734375,3980.2289858907843,3929.846340499762,3939.922869577966,70558600
2023-01-27,4040.688232421875,4091.0708787114245,3990.305586132325,3990.305586132325,216788400
